Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification
US20120179864,A1,"Metrics and management for flash memory storage life","Hitachi, Ltd.",https://patentscout.innography.com/share/KUupuWf3APikNlwB60xA5A%3D%3D,G06F01200000,G06F0003065300,711103000
US12346560,B2,"Storage device operating in zone unit and data processing system including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/07JH9KWqbDAcWdXkEgTXCg%3D%3D,G06F00306000,G06F0003060800,711004000
US20240241642,A1,"Storage device including non-volatile memory device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/eGNFVYp69ro6A_AjTqqbQQ%3D%3D,G06F00306000,G06F0003065800,711004000
US12254183,B2,"Storage device including non-volatile memory device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/UMBod6_qhJoSSa6qAGVKCA%3D%3D,G06F01200000,G06F0003065800,710244000
US20230325113,A1,"Controlled system management based on storage device thermal load","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/cVXKxPOibzbydV7Bjq2zBA%3D%3D,G06F00306000,G06F0003068800,711004000
US11853612,B2,"Controlled system management based on storage device thermal load","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/OUEEc05PJZVgnkwKSdsFVQ%3D%3D,G06F00306000,G06F0003068800,711004000
CN117453152,A,"Zns solid state disk zone lba management method and algorithm of block management command","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/HyVwgwY7S3I-XxZDSqtnmA%3D%3D,G06F00306000,G06F0003062000,711004000
CN117453152,B,"Zns solid state disk zone lba management method and algorithm of block management command","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/jr8DtvPswgjMvTEYWN9Iog%3D%3D,G06F00306000,G06F0003062000,711004000
US20220027282,A1,"Flash memory controller mechanism capable of generating host-based cache information or flash-memory-based cache information to build and optimize binary tree with fewer nodes when cache stores data from host","Silicon Motion, Inc.",https://patentscout.innography.com/share/q2DzUdD9g7Vcj0NWF2YKrQ%3D%3D,G06F01208880,G06F0003061100,713340000
US11630780,B2,"Flash memory controller mechanism capable of generating host-based cache information or flash-memory-based cache information to build and optimize binary tree with fewer nodes when cache stores data from host","Silicon Motion, Inc.",https://patentscout.innography.com/share/gEY98I6bgIXExyd0bc-Cdw%3D%3D,G06F01208000,G06F0003061100,711003000
US20180329816,A1,"Data storage device and method for operating data storage device","Silicon Motion, Inc.",https://patentscout.innography.com/share/KaDpmwOV6nP9c_HEVnBlnQ%3D%3D,G06F01202000,G06F0003067900,345543000
US10409717,B2,"Data storage device and method for operating data storage device","Silicon Motion, Inc.",https://patentscout.innography.com/share/P8VVhUJUnE4hr35hZRxxDg%3D%3D,G06F01200000,G06F0003067900,710244000
US20150347028,A1,"Real-time i/o pattern recognition to enhance performance and endurance of a storage device","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/JD9YbR9R_7VUigiPTVkWUg%3D%3D,G06F00306000,G06F0003061100,711004000
US20240311015,A1,"Storage device, electronic device including storage device, and operating method of electronic device including storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/_bpZ5t1WR8bqJKaZiXd7GA%3D%3D,G06F00306000,G06F0003065200,711004000
CN102541456,B,"Flash memory writing method and system under a sector mould","Arkmicro Technologies Inc.",https://patentscout.innography.com/share/5Bo7mNIbJ-IJAWYZw8AmmA%3D%3D,G06F00306000,G06F0003060000,711004000
KR102561727,B1,"Sequential write stream management","Intel Corporation",https://patentscout.innography.com/share/bQsjsyUyJXJvoyRF37MZlw%3D%3D,G06F00306000,G06F0003061000,711004000
CN107430493,B,"Sequential write stream management","Intel Corporation",https://patentscout.innography.com/share/8SV4J7QdlLSCore5mmpUlw%3D%3D,G06F00306000,G06F0003061000,711004000
US20170139839,A1,"Data storage device and data maintenance method thereof","Silicon Motion, Inc.",https://patentscout.innography.com/share/ZD-Z_wb1Xf3JrAwj1HWBlg%3D%3D,G06F00306000,G06F0003064000,713340000
CN106708421,B,"Data storage device and its data maintaining method",,https://patentscout.innography.com/share/N90azA-0nd6qHbw1bdcqmQ%3D%3D,G06F00306000,G06F0003064000,711004000
USRE50067,E1,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/akAFY78rgq_SRM1WN9lnVg%3D%3D,G06F01202000,G06F0003061000,345543000
KR20230064849,A,"Storage device and operating method therefor","Sk Hynix Inc.",https://patentscout.innography.com/share/IliAGj_ref6gyAL8pWevLA%3D%3D,G06F00306000,G06F0003067000,711004000
KR20240073166,A,"Controlled system management based on storage device thermal load","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/paXZx9MUXLafZ5JNFNE1Vg%3D%3D,G06F00306000,G06F0003068800,711004000
US12346569,B2,"Storage device, electronic device including storage device, and operating method of electronic device including storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/enyaJk_3sIXdzIVhpKBOSw%3D%3D,G06F00306000,G06F0003061600,711004000
KR20230117258,A,"Sequential write stream management","Intel Corporation",https://patentscout.innography.com/share/87X5AU9AtQuldGOq-Qitnw%3D%3D,G06F00306000,G06F0003061000,711004000
US9563375,B2,"Method for storing metadata of log-structured file system for flash memory","Electronics And Telecommunications Research Institute",https://patentscout.innography.com/share/RaaqA-kIWBuwKUN8zXrQVA%3D%3D,G06F01200000,G06F0003061900,710244000
US20170090782,A1,"Writing management method and writing management system for solid state drive","Apacer Technology Inc.",https://patentscout.innography.com/share/99GxVd03QeReSNQ7_6F3GQ%3D%3D,G06F00306000,G06F0003061600,711004000
CN106557273,A,"Data management method for solid state disk, write management system and method thereof","Apacer Technology Inc.",https://patentscout.innography.com/share/7AZID8eHZyBY_wFrWcq58Q%3D%3D,G06F00306000,G06F0003060000,711004000
US20230045892,A1,"Storage device, an operation method of a storage system including the storage device, and a host device controlling the storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/y3BN5Fc51VESRqQurB-NwA%3D%3D,G06F00306000,G06F0003065800,711004000
US20210089217,A1,"Zoned namespaces in solid-state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/nSEzFBRG6fVE3UHk1qIRJA%3D%3D,G06F00306000,G06F0003061600,711004000
CN117149085,A,"Fast addressing method based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/uUnZVlkBMGo_W42jiYZ_PA%3D%3D,G06F00306000,G06F0003061000,711004000
CN117149085,B,"Fast addressing method based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/eMQLLF5h9OHZaBjiQnaC1Q%3D%3D,G06F00306000,G06F0003061000,711004000
CN107861687,A,"Method on the flash memory bit storage number of small electric quantity","Holley Technology Co., Ltd.; China Electric Power Research Institute; State Grid Corporation Of China",https://patentscout.innography.com/share/GIv9Ka2QS4iOddlodGOJZg%3D%3D,G06F00306000,G06F0003060800,711004000
US11392314,B2,"Sequentially writing metadata into a solid state disk by redirect-on-write","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/o0IpyASfU0qlogsZmKcz2Q%3D%3D,G06F00306000,G06F0003060200,711004000
CN114546295,A,"Intelligent and device for distributing and writing based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/dGjQQsRkEK6IqwIMctiqAA%3D%3D,G06F00306000,G06F0003062900,711004000
KR102756645,B1,"Sequential write stream management","Intel Corporation",https://patentscout.innography.com/share/syzCGqLL-uDrNb87UbFF1A%3D%3D,G06F00306000,G06F0003061000,711004000
US20150254013,A1,"Method for storing metadata of log-structured file system for flash memory","Electronics And Telecommunications Research Institute",https://patentscout.innography.com/share/WPf4MLRbNtJR8jlFvMj02w%3D%3D,G06F00306000,G06F0003061900,711004000
KR102033323,B1,"Method for storing metadata of log-structured file system for flash memory","Electronics And Telecommunications Research Institute",https://patentscout.innography.com/share/9Fs_P-GPkRQ7KWJIPupw-Q%3D%3D,G06F01202000,G06F0003061900,345543000
CN113535088,A,"Storage device, data processing method and storage system","Shenzhen Ancun Data Technology Co., Ltd.",https://patentscout.innography.com/share/igDjndFj6qpPRoz95D2Ukw%3D%3D,G06F00306000,G06F0003067400,711004000
CN117762322,A,"Data storage method, storage device and device","Huawei Cloud Computing Technologies Co., Ltd.",https://patentscout.innography.com/share/SgLjrF9w5GlUnJSOS4XBYA%3D%3D,G06F00306000,G06F0003060000,711004000
CN106502586,B,"A method for improving sequential read performance of solid state hard disk","Ramaxel Technology (shenzhen) Co., Ltd.",https://patentscout.innography.com/share/8HyVmoBcoGFx3BIQrRXWvg%3D%3D,G06F00306000,G06F0003061000,711004000
US20250068343,A1,"Storage device and data access method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/-chEeQqn5IzX6qSUHyq5UQ%3D%3D,G06F00306000,G06F0003061000,711004000
US12293095,B2,"Storage device and data access method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/etx7MpOAjAEsrN7pHD7qMQ%3D%3D,G06F00306000,G06F0003061000,711004000
CN118897650,A,"Storage device for allocating unit partition area and operation method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/E-0GSinhXaOgXdHAn3cNUg%3D%3D,G06F00306000,G06F0003061600,711004000
CN105224240,B,"The data written in the storage device of the method, device and storage device","Beijing Memblaze Technology Co., Ltd.",https://patentscout.innography.com/share/xQh4pcL92uHs1wRaDf40kw%3D%3D,G06F00306000,G06F0003060000,711004000
CN110658995,A,"A solid state disk and its configuration data management method, device and storage medium","Suzhou Inspur Intelligent Technology Co., Ltd.",https://patentscout.innography.com/share/XrTC19plvnRpXslaCBEIkg%3D%3D,G06F00306000,G06F0003061000,711004000
CN106980469,A,"A method for improving sequential write cache efficiency of solid state hard disk","Ramaxel Technology (shenzhen) Co., Ltd.",https://patentscout.innography.com/share/NdYPMbDect3T5pjLwkNMSQ%3D%3D,G06F00306000,G06F0003061100,711004000
CN116382576,B,"Storage control chip, solid state hard disk and related method","Pingtouge (shanghai) Semiconductor Co., Ltd.",https://patentscout.innography.com/share/Zar1CX6m8H8N4g6drmfAHw%3D%3D,G06F00306000,G06F0003060000,711004000
CN117555491,A,"A method for realizing encryption function of zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/8Iex1de_RrkVaWu5V_23qw%3D%3D,G06F00306000,G06F0003061400,711004000
CN117555491,B,"A method for realizing encryption function of zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/8Prv-xuYYZRp3aHtsU6-5g%3D%3D,G06F00306000,G06F0003061400,711004000
KR20240030947,A,"Storage device including nonvolatile memory device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/q2mHwVkxb9imGLQrtv9t1A%3D%3D,G06F00306000,G06F0003065800,711004000
CN116755877,A,"Bandwidth control method and storage device","Samsung (china) Semiconductor Co., Ltd.; Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Yhar757nW6YvNqBj3aQ99A%3D%3D,G06F00950000,G06F0003060400,713340000
CN115437563,A,"Method for improving read-write performance of storage device, system and computer readable storage medium","Zhiyu Technology (wuhan) Co., Ltd.",https://patentscout.innography.com/share/QtOl2tcvrSzwvOVyREFwew%3D%3D,G06F00306000,G06F0003061000,711004000
CN106610791,A,"Data storage device and its data maintaining method","""silicon Motion, Inc.""",https://patentscout.innography.com/share/zgy2IQWDOOmeP6qm2YpO2g%3D%3D,G06F00306000,G06F0003065900,711004000
CN117891412,A,"A bad block mapping method based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/r1eiOHXIBexxlnNOxgaEQQ%3D%3D,G06F00306000,G06F0003060400,711004000
CN117891412,B,"A bad block mapping method based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/d0dXRArPWHY05WEihnBOfQ%3D%3D,G06F00306000,G06F0003060400,711004000
CN112486419,A,"Data storage method based on raid5, device, recovery method and solid state disk","Shenzhen Anjieli New Technology Co., Ltd.",https://patentscout.innography.com/share/64Vclz1KhEHpxu4QkO9WqA%3D%3D,G06F00306000,G06F0003062000,711004000
US20250138731,A1,"Storage device, operation method of storage device, and operation method of storage system including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/gpoRGg9S3nXg9HsKBYks-g%3D%3D,G06F00306000,G06F0003065500,711004000
CN117873406,A,"A method for controlling abrasion balance of zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/UlGFJ7tyTTmLs3DZXkScWA%3D%3D,G06F00306000,G06F0003060400,711004000
CN117873406,B,"A method for controlling abrasion balance of zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/Cvvtklu4KndpzS6uhjKUNw%3D%3D,G06F00306000,G06F0003060400,711004000
US12056363,B2,"Systems and methods for relocating data in a persistent storage device","Daedalus Cloud LLC",https://patentscout.innography.com/share/O3ak5UVpeVsDzuEqLmMXXA%3D%3D,G06F00306000,G06F0003064400,711004000
US20210081330,A1,"Non-sequential zoned namespaces","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/dfn8fxd4STHr6Rt5qsD20Q%3D%3D,G06F01210810,G06F0003067900,713340000
KR20210076143,A,"Out-of-order zone namespaces","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/4nBmHdbostEJKuqQVD0Auw%3D%3D,G06F01202000,G06F0003067900,345543000
CN113179658,A,"Non-sequential zoning namespace","Western Digital Technologies Inc.",https://patentscout.innography.com/share/bbItToUJngzhuaX18YYhgQ%3D%3D,G06F01202000,G06F0003067900,345543000
US11294827,B2,"Non-sequential zoned namespaces","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/fI1KY2qYrxB8sAb8RyUWpg%3D%3D,G06F01210810,G06F0003067900,713340000
KR102569783,B1,"Out-of-order zone namespaces","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/xpe5xilCzm3us3U0ez03fA%3D%3D,G06F01202000,G06F0003067900,345543000
CN113179658,B,"Non-sequential zoning namespace","Western Digital Technologies Inc.",https://patentscout.innography.com/share/bPB8P5dWxn58j_6gU4WhvQ%3D%3D,G06F01202000,G06F0003067900,345543000
CN101907978,B,"And hybrid storage system based on solid state disk and storage method of magnetic disk","Zhejiang University",https://patentscout.innography.com/share/n2j_XMHf1OGccDCkepkwAQ%3D%3D,G06F00306000,G06F0003060000,711004000
US12189977,B2,"System and method for fine granular retention control in storage devices","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/9TfffdOAFcjQZcluKLHG8w%3D%3D,G06F00300000,G06F0003065900,708134000
US20240289222,A1,"Data storage device including a solid state drive","Sk Hynix Inc.; Seoul National University R&db Foundation",https://patentscout.innography.com/share/Rr4TemeVtC0WA4-jDj-3-w%3D%3D,G06F01110000,G06F0003061400,714807000
KR20240132611,A,"Data storage device including a solid state drive","Sk Hynix Inc.; Seoul National University R&db Foundation",https://patentscout.innography.com/share/8vM13ujMVm1NXJbxLiTftQ%3D%3D,G06F00306000,G06F0003061400,711004000
US20230195319,A1,"Methods of arranging data on persistent storage device","Daedalus Cloud LLC",https://patentscout.innography.com/share/z1JjzW6vs-tx-XkDRA-FqQ%3D%3D,G06F00306000,G06F0003064400,711004000
KR102583244,B1,"Storage device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/jf4qX16-HkiAzWqKFWBQ-A%3D%3D,G06F00306000,G06F0003061100,711004000
US20240370178,A1,"Zoned namespaces in solid-stage drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/nP-YHD8AeGMQ1vDk90jwgA%3D%3D,G06F00306000,G06F0003061600,711004000
US20160077747,A1,"Efficient combination of storage devices for maintaining metadata","Dell Products, Lp",https://patentscout.innography.com/share/seEscQPxSI3SlY-gzu_PVg%3D%3D,G06F01114000,G06F0003061300,711004000
US20220334746,A1,"Storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/ItuJAaVRWoAw1MQyKkf7VA%3D%3D,G06F00306000,G06F0003067900,711004000
KR20220142195,A,"Storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/sHMRbg2TC6G248rfgZFU2A%3D%3D,G06F01202000,G06F0003067900,345543000
US11836370,B2,"Storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/tJMsnDXuM1JhisSaQfb6qQ%3D%3D,G06F00300000,G06F0003067900,708134000
KR20210096133,A,"Maintenance of write commands in zoned namespaces","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/rDAcrzdGovm8u2726uaK7g%3D%3D,G06F00306000,G06F0003061000,711004000
CN111240578,B,"Multi-bit storage device and electronic equipment","Shenzhen Longsys Electronics Co., Ltd.",https://patentscout.innography.com/share/Fwxe674pSkI4nko1dg0Smg%3D%3D,G06F00306000,G06F0003065900,711004000
US20230325119,A1,"System and method for performing data read-write operations in zoned storage devices","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/yiL-NnzeNqwy9avuO7MXgg%3D%3D,G06F00306000,G06F0003068300,711004000
US11989457,B2,"System and method for performing data read-write operations in zoned storage devices","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/eBKquAzmvRGAgG7KJuwtOA%3D%3D,G06F01200000,G06F0003068300,710244000
US20220317922,A1,"Provisioning zoned storage devices to sequential workloads","Credit Suisse Ag, Cayman Islands Branch",https://patentscout.innography.com/share/RTnvlOi1LHem0tsHJzIRAQ%3D%3D,G06F00306000,G06F0003065900,711004000
KR20170081133,A,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/fHrx_qPOD30DXxkCkKbvRA%3D%3D,G06F00306000,G06F0003060000,711004000
KR20180072855,A,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/4zclKHZ-IE1HVeE756_rrw%3D%3D,G06F00306000,G06F0003060000,711004000
KR101962359,B1,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/AX2EXURz_X1Jjg9sWan4_A%3D%3D,G06F00306000,G06F0003060000,711004000
CN103176753,A,"Storage device and data management method thereof","Shenzhen Longsys Electronics Co., Ltd.",https://patentscout.innography.com/share/MvjiXzuNU-GsTiNELYKmBQ%3D%3D,G06F00306000,G06F0003060000,711004000
CN103176753,B,"Storage device and data management method thereof","Shenzhen Netcom Electronics Co., Ltd.",https://patentscout.innography.com/share/dzfwTotCQk_hV9_JZJW4RA%3D%3D,G06F00306000,G06F0003060000,711004000
CN116126239,B,"A method for improving nor flash writing performance of zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/5ZXu21YduSM4l2rFgJ4oVw%3D%3D,G06F00306000,G06F0003061100,711004000
US20200409601,A1,"Hold of write commands in zoned namespaces","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/GML6Zjds0nrTQFjqHY84KQ%3D%3D,G06F00306000,G06F0003061000,711004000
US20240361934,A1,"Data storage device and data processing method","Silicon Motion, Inc.",https://patentscout.innography.com/share/inFYbMqYoW7x1oxBK3TDMw%3D%3D,G06F00306000,G06F0003061000,711004000
US12260100,B2,"Data storage device and data processing method for arranging a write order of writing data based on a logical data order of reading the data","Silicon Motion, Inc.",https://patentscout.innography.com/share/idEW-Elr2nug50Kxniqkkw%3D%3D,G06F00306000,G06F0003061000,711004000
CN113094004,B,"Optimized processing method for mirror image mapping of special rule data in storage device","Yeestor Microelectronics Co., Ltd.",https://patentscout.innography.com/share/UsE0xRvoCbi78Uocu-htXA%3D%3D,G06F00306000,G06F0003061000,711004000
CN112416242,A,"Data storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/aB0mUd5fNGDNEbPDd37j_Q%3D%3D,G06F00306000,G06F0003065800,711004000
KR20210023203,A,"Data storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/r181ONvYi6WRslvfSx2AJA%3D%3D,G06F00306000,G06F0003065800,711004000
CN112416242,B,"Data storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/RU9h8-Fgl5-8lMMJ8iRG4A%3D%3D,G06F00306000,G06F0003065800,711004000
KR102717023,B1,"Data storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/PImhpcLIdeFRsf_dkJgogQ%3D%3D,G06F00306000,G06F0003065800,711004000
CN118349186,A,"Mapping table updating method and storage device","Hefei Kaimeng Technology Co., Ltd.",https://patentscout.innography.com/share/vphiqRFS2ojDrSU8-V6t3A%3D%3D,G06F00306000,G06F0003060400,711004000
CN118349186,B,"Mapping table updating method and storage device",,https://patentscout.innography.com/share/HLcclhlrriTT4xrr5RoMwA%3D%3D,G06F00306000,G06F0003060400,711004000
US20140101373,A1,"Method of managing data storage device and data storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Drcm5CCHsa4vTSLJsfFxaA%3D%3D,G06F00306000,G06F0003061300,711103000
US9244619,B2,"Method of managing data storage device and data storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/1EgyrEGg5CJ7ryvUwapVGQ%3D%3D,G06F01312000,G06F0003061300,703020000
CN104798063,A,"Storage device and host computer device","Toshiba Kk",https://patentscout.innography.com/share/X5fTqdh1FFxfSSvYXXkPzA%3D%3D,G06F01342000,G06F0003060800,710105000
CN104798063,B,"A storage device and a host device","Toshiba Kk",https://patentscout.innography.com/share/JgwPzM8ssNKEDE-w_TdrmQ%3D%3D,G06F01342000,G06F0003060800,710105000
KR102267477,B1,"Storage device and operating method of the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/A4f7qLZdj6whI5zrHiR-TQ%3D%3D,G06F00306000,G06F0003063100,711004000
US20210263682,A1,"Storage device and operating method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/QseH9mtmuedUJFkn20BcVg%3D%3D,G06F00306000,G06F0003063100,711004000
CN113282234,A,"Storage device, storage system and operation method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/eLUEOblRKTlgpyVb6NhSIw%3D%3D,G06F00306000,G06F0003063100,711004000
CN113282234,B,"Storage device, storage system and operation method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/UC8eXICpu6hjB30Q9vwibg%3D%3D,G06F00306000,G06F0003063100,711004000
CN104142801,A,"Storage device for data write-in method, memory controller and memory","Phison Electronics Corp.",https://patentscout.innography.com/share/cKTSPrY0XPBQgDOpVU8-cw%3D%3D,G06F00306000,G06F0003060000,711004000
CN104142801,B,"Storage device for data write-in method, memory controller and memory","Phison Electronics Corp.",https://patentscout.innography.com/share/Vol6LzpS2_rtd2ssuKRmDQ%3D%3D,G06F00306000,G06F0003060000,711004000
CN104657083,A,"Data writing method, a memory storage device, the memory control circuit unit","Phison Electronics Corp.",https://patentscout.innography.com/share/NZ0u13JK9jtQsl8oB_DUHw%3D%3D,G06F00306000,G06F0003060000,711004000
CN104657083,B,"The data writing method, a memory storage device, the memory control circuit unit","Phison Electronics Corp.",https://patentscout.innography.com/share/tgnc1wrjHjAFCw2Ji6tzUw%3D%3D,G06F00306000,G06F0003060000,711004000
US10452301,B1,"Cluster-based storage device buffering","Amazon Technologies, Inc.",https://patentscout.innography.com/share/KLZIa954JLIK1SesKz3n8A%3D%3D,G06F00306000,G06F0003064700,711004000
US20110197035,A1,"Data storage device, storing medium access method and storing medium thereof","Seagate Technology International",https://patentscout.innography.com/share/yhzrLUMd5-ErNnD-XNYdRA%3D%3D,G06F01210000,G06F0003061300,711154000
US8583879,B2,"Data storage device, storing medium access method and storing medium thereof","Seagate Technology International",https://patentscout.innography.com/share/0OKe2DaIrrXBueokSScKNQ%3D%3D,G06F01210000,G06F0003061300,711154000
US20160062651,A1,"Cache management for sequential write storage","International Business Machines Corporation",https://patentscout.innography.com/share/NKUGKpimNnx3wo8YntxPKA%3D%3D,G06F00306000,G06F0003061000,711004000
US9348517,B2,"Using a migration threshold and a candidate list for cache management of sequential write storage","International Business Machines Corporation",https://patentscout.innography.com/share/rrsLHINGm2fZ73zrc9ujrA%3D%3D,G06F01300000,G06F0003061000,345540000
US20180232314,A1,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/o9-77ZLrF6AXSQ8sohbKZQ%3D%3D,G06F01210000,G06F0003060000,345568000
CN107003809,B,"A storage device stores data of the method and memory device","Huawei Tech Co Ltd",https://patentscout.innography.com/share/Q2x7BBaVJsSM7nxrzTXXSg%3D%3D,G06F00306000,G06F0003060000,711004000
US20170123714,A1,"Sequential write based durable file system","Netapp, Inc.",https://patentscout.innography.com/share/XhgSXCK2k38UUVIeV_aAPg%3D%3D,G06F00306000,G06F0003064300,711004000
KR20200137542,A,"Memory controller and storage device having the same","Sk Hynix Inc.",https://patentscout.innography.com/share/mRhHxSvfZSqSBlBjkHTnEQ%3D%3D,G06F00306000,G06F0003065800,711004000
CN118860265,A,"Data storage device and data processing method","Silicon Motion Technology Corp.",https://patentscout.innography.com/share/Dtiz5Ny_pZdxxJGPE_7W0Q%3D%3D,G06F00306000,G06F0003061000,711004000
CN117289862,A,"Host management method, device, device and medium","Suzhou Yuannao Intelligent Technology Co., Ltd.",https://patentscout.innography.com/share/MCtUwAKWP5DXwrgbmeHf5w%3D%3D,G06F00306000,G06F0003060400,711004000
CN117348789,A,"Data access method, storage device, hard disk, storage system and storage medium","Chengdu Huawei Technology Co., Ltd.",https://patentscout.innography.com/share/F0HPpEZDaJvWTwB1-ZChPA%3D%3D,G06F00306000,G06F0003061600,711004000
CN107817946,A,"A method and apparatus of hybrid storage device reading and writing data","Alibaba Group Holding Limited",https://patentscout.innography.com/share/A7rSL2pvvQv9wQXcrGC5cw%3D%3D,G06F00306000,G06F0003061100,711004000
CN107817946,B,"Method and device for reading and writing data of mixed storage device","Alibaba Group Holding Limited",https://patentscout.innography.com/share/zc7UFZVWsQR2ruEX2SqpBw%3D%3D,G06F00306000,G06F0003061100,711004000
CN116974481,A,"Method for adjusting water level line of idle physical block and storage device","Suzhou Qiheng Rongzhi Information Technology Co., Ltd.",https://patentscout.innography.com/share/nkMgGY9SkjyC68RNcDH4Hg%3D%3D,G06F00306000,G06F0003060000,711004000
KR20240142854,A,"Electronic device including a plurality of storage devices and operating method of electronic device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/AWfAoWIogFinr0h6osB77w%3D%3D,G06F00306000,G06F0003061100,711004000
CN118897648,A,"Storage device and operation method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/EKO4wO8Jdmn3fiHLQZ90Cg%3D%3D,G06F00306000,G06F0003062000,711004000
US20240427523,A1,"Host storage command management for dynamically allocated namespace capacity in a data storage device to improve the quality of service (qos)","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/kB0NwaSnf19auOh4wNxQKg%3D%3D,G06F00306000,G06F0003065900,711004000
US20210208781,A1,"Storage control method, storage controller, storage device and storage system","Shanghai Baigong Semiconductor Co., Ltd.",https://patentscout.innography.com/share/j9TsKKJo8VyNhopOahVoJQ%3D%3D,G06F00306000,G06F0003060400,711004000
US11442658,B1,"System and method for selecting a write unit size for a block storage device","Lightbits Labs Ltd.",https://patentscout.innography.com/share/9mWGbKux_hUFD8yGUbgckA%3D%3D,G06F00306000,G06F0003065500,711004000
US20190205055,A1,"Optimized sequential writes on mirrored disks","International Business Machines Corporation",https://patentscout.innography.com/share/t0Bj6WsuOyuJhWdO-t4p5g%3D%3D,G06F00306000,G06F0003067000,711004000
US20220156008,A1,"Storage device, electronic system including the same, and method of operating the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/_pWJvEcrDd0FpybCAmvkFQ%3D%3D,G06F00306000,G06F0003061000,711004000
