Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US12235754,B2,"Victim zone selection for zone compaction during garbage collection in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/oxYet_n8h8QCn0oNEluY8A%3D%3D,G06F01600000,G06F0012024600,713340000,2024-05-16,2025-02-25,2025-02-25,2022-11-10,2023-07-07,2043-07-07,2024-05-16,2024-05-16,"Kochar, Navin|Raja Murthy, Sampath Kumar|Adhoni, Suhaib Mohammed"
US9251064,B2,"Nvram caching and logging in a storage system","Netapp, Inc.",https://patentscout.innography.com/share/00CAaS5rKCL89AphBBYz3g%3D%3D,G06F01200000,G06F0012024600,710244000,2015-07-09,2016-02-02,2016-02-02,2014-01-08,2014-01-08,2034-01-08,2014-11-25,2014-11-25,"Kimmel, Jeffrey S."
CN111124944,A,"A data writing method, device and dram-less solid hard disk","Shenzhen Dapu Microelectronics Technology Co., Ltd.",https://patentscout.innography.com/share/VNFHivaWw7gEjICDdL2sEw%3D%3D,G06F01206000,G06F0012063800,345571000,2020-05-08,2023-08-18,2020-05-08,2019-12-13,2019-12-13,2023-08-18,2020-05-08,2020-05-08,"Zhang, Jixing|Huang, Yunxin|Li, Weijun|Yang, Yafei"
US11537290,B2,"Managing high performance storage systems with hybrid storage technologies","International Business Machines Corporation",https://patentscout.innography.com/share/1B-RuhBn4v0XJumdPUIdSg%3D%3D,G06F00306000,G06F0012024600,711004000,2015-09-24,2022-12-27,2022-12-27,2014-03-20,2014-03-20,2034-10-03,2015-09-24,2015-09-24,"Cher, Chen-yong|Franceschini, Michele M.|Jagmohan, Ashish"
CN109710184,A,"Layered mixed storage method and system of tile recording disk","National University Of Defense Technology Of Pla",https://patentscout.innography.com/share/nhEbQmoEIwLGbM4GDW6etw%3D%3D,G06F00306000,G06F0003060000,711004000,2019-05-03,2022-02-18,2019-05-03,2018-12-19,2018-12-19,2022-02-18,2019-05-03,2019-05-03,"Xiao, Liquan|Xu, Weixia|Xie, Xuchao|Li, Qiong|Song, Zhenlong|Wei, Dengping|Li, Tiejun|Yuan, Yuan|Zhou, Enqiang|Dong, Yong|Zheng, Yi"
CN111722797,A,"Data management method facing ssd and ha-smr mixed storage system, storage medium and device","Xi'an Jiaotong University",https://patentscout.innography.com/share/qjOKwvi94kHgPq0USKVAnQ%3D%3D,G06F00306000,G06F0003060400,711004000,2020-09-29,2021-06-29,2020-09-29,2020-05-18,2020-05-18,2021-06-29,2020-09-29,2020-09-29,"Wu, Weiguo|Zhang, Chi|Zhang, Chen|Nie, Shiqiang|Zheng, Xuda|Ma, Chunmiao"
US20200356306,A1,"Dynamic data placement for collision avoidance among concurrent write streams","Micron Technology, Inc.",https://patentscout.innography.com/share/rUnkXJb-MTgPeHIt6onB6g%3D%3D,G06F00306000,G06F0003065900,711004000,2020-11-12,2021-09-07,2020-11-12,2019-05-06,2020-05-01,2021-09-07,2020-11-12,2020-11-12,"Subbarao, Sanjay"
CN113785278,B,"Dynamic data placement for avoiding collisions between concurrent write streams","Micron Technology Inc.",https://patentscout.innography.com/share/5aaQixodUJZN5sv8MRtQ_Q%3D%3D,G06F01210720,G06F0003065900,713340000,2021-12-10,2024-06-18,2024-06-18,2019-05-06,2020-05-05,2040-05-04,2020-11-12,2020-11-12,"Subbarao, Sanjay"
US20210303196,A1,"Method, device and computer program product for storage","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/0ECTHBHAw9cUtOYvV6nwFg%3D%3D,G06F00306000,G06F0003060200,711004000,2021-09-30,2022-07-19,2021-09-30,2020-03-25,2020-09-21,2022-07-19,2021-09-28,2021-09-28,"Lv, Shuo|Zhang, Ming"
US9619157,B2,"High-speed data storage","Analysis Solution LLC, Dba Gearbit",https://patentscout.innography.com/share/2wB2PLjdlnaQE6Pmg5tWBg%3D%3D,G06F00306000,G06F0003061300,711004000,2015-10-08,2017-04-11,2017-04-11,2014-04-03,2014-04-03,2021-04-11,2015-10-08,2015-10-08,"Crisman, Jayson B.|Tompkins, Ray D."
US20230384966,A1,"Storage system and method for data placement in zoned storage","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/tViEF-z6FYDNXYDWEZb-qA%3D%3D,G06F00306000,G06F0003065200,711004000,2023-11-30,2023-12-05,2023-11-30,2022-05-31,2022-07-08,2023-12-05,2023-11-30,2023-11-30,"Sela, Rotem|Zilberstein, Einav|Druck, Asher"
US9460006,B2,"Nonvolatile memory system, system including the same, and method of adaptively adjusting user storage region in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/4-1IYj_qdnga4a3PPjDVaw%3D%3D,G06F00300000,G06F0012024600,708134000,2014-09-18,2016-10-04,2016-10-04,2013-03-15,2014-03-13,2034-06-08,2014-09-18,2014-09-18,"Im, Hyung Jin|Choi, Sang Hoon|Kang, Jeong Uk|Kwon, Moon Sang"
CN106527987,A,"A not with dram ssd reliability lifting system and method","Hunan Goke Microelectronics Co., Ltd.",https://patentscout.innography.com/share/wV7W5up-PPAlfGfkRjEIaQ%3D%3D,G06F00306000,G06F0003061400,711004000,2017-03-22,2019-06-04,2017-03-22,2016-11-04,2016-11-04,2019-06-04,2017-03-22,2017-03-22,"Yang, Wanyun|Zhou, Shibing|Ma, Yi|Tian, Dahai|Peng, Peng"
US12229403,B2,"Hybrid logical to physical mapping for zns based ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/pKHx9duCZ3IjthkG8z8IPA%3D%3D,G06F00306000,G06F0003067900,711004000,2024-03-21,2025-02-18,2025-02-18,2022-09-20,2022-09-20,2042-11-19,2024-03-21,2024-03-21,"Kavirayani, Chaitanya|Agarwal, Vineet|Raja Murthy, Sampath|Deora, Aakar|Singh, Varun"
CN110968253,A,"A data storing method, device and system","Alibaba Group Holding Limited",https://patentscout.innography.com/share/HYjhCDs-NOoCjcfFfn2O2g%3D%3D,G06F00306000,G06F0003061600,711004000,2020-04-07,2023-06-06,2020-04-07,2018-09-29,2018-09-29,2023-06-06,2020-04-07,2020-04-07,"Wu, Zhongjie|Wu, Bo"
CN110968271,A,"A high performance data storing method, system and device","Beijing Jinqun Technology Co., Ltd.",https://patentscout.innography.com/share/eJIUEO1jpeZ3YKvP_ZgfRw%3D%3D,G06F00306000,G06F0003068900,711004000,2020-04-07,2024-02-20,2020-04-07,2019-11-25,2019-11-25,2024-02-20,2020-04-07,2020-04-07,"Zhang, Xingxing"
CN117311647,A,"Realizing method based on zns solid hard disk raid","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/tTCe2YZWml90vr7kV6e-Dg%3D%3D,G06F00306000,G06F0003060700,711004000,2023-12-29,2024-03-15,2023-12-29,2023-11-30,2023-11-30,2024-03-15,2023-12-29,2023-12-29,"Qian, Peng|Liu, Xingbin|Xing, Peidong"
US11204869,B2,"System and method for facilitating data storage with low-latency input/output and persistent data","Alibaba Group Holding Limited",https://patentscout.innography.com/share/vO3pk-wwCsvz6diOHLWypg%3D%3D,G06F01208040,G06F0012080400,713340000,2021-06-10,2021-12-21,2021-12-21,2019-12-05,2019-12-05,2040-02-06,2021-06-10,2021-06-10,"Li, Shu"
US9830256,B1,"Block device workload analysis","Amazon Technologies, Inc.",https://patentscout.innography.com/share/SyR41p37mTkc4obRWAjQ2g%3D%3D,G06F00306000,G06F0012000000,711004000,,2017-11-28,2017-11-28,2013-04-19,2013-04-19,2035-04-28,2017-11-28,2017-11-28,"Olson, Marc Stephen|Thompson, James Michael|Hawks, Benjamin Arthur"
CN105518612,A,"A monitoring data writing method and device","Streamax Technology Co., Ltd.",https://patentscout.innography.com/share/_h0LI1lGMqT6Qtl0Hpedhw%3D%3D,G06F00306000,G06F0012000000,711004000,2016-04-20,,2016-04-20,2015-07-29,2015-07-29,2020-06-05,2016-04-20,2016-04-20,"Huang, Kaiming"
CN110806839,A,"Method of memory control, memory device, memory controller and storage server","Silicon Motion Inc.",https://patentscout.innography.com/share/OYshJycGLldhRydpcntmig%3D%3D,G06F00306000,G06F0003068900,711004000,2020-02-18,2023-06-20,2020-02-18,2018-08-06,2019-08-06,2023-06-20,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
CN107908369,A,"A high-end storage environment management system","Zhengzhou Yunhai Information Technology Co., Ltd.",https://patentscout.innography.com/share/a_62467maQXwcoD4IEts1w%3D%3D,G06F00306000,G06F0003060400,711004000,2018-04-13,,2018-04-13,2017-11-23,2017-11-23,2021-05-28,2018-04-13,2018-04-13,"Mao, Beibei"
US20190260845,A1,"Caching method, system, device and readable storage media for edge computing","Soochow University",https://patentscout.innography.com/share/EB-kb6wvv6PZFt_1tOMo8w%3D%3D,H04L02908000,G06F0003061100,455414400,2019-08-22,2020-10-20,2019-08-22,2017-12-22,2018-09-13,2020-10-20,2018-06-05,2018-06-05,"Shen, Gangxiang|Wang, Ning"
US10812615,B2,"Caching method, system, device and readable storage media for edge computing","Soochow University",https://patentscout.innography.com/share/h-fNjbEfbyJ2226MyWYgMA%3D%3D,G06F00306000,G06F0003061100,455414400,2019-08-22,2020-10-20,2020-10-20,2017-12-22,2018-09-13,2038-09-13,2018-06-05,2018-06-05,"Shen, Gangxiang|Wang, Ning"
US20210397348,A1,"Storage system and method for using host-assisted variable zone speed grade modes to minimize overprovisioning","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/qveCD9DzFuEzOr5SdV7xFw%3D%3D,G06F00306000,G06F0003060400,711004000,2021-12-23,2022-07-05,2021-12-23,2020-06-19,2020-06-19,2022-07-05,2021-12-23,2021-12-23,"Agarwal, Dinesh Kumar"
CN111176564,B,"Method and device for determining data placing strategy in ssd","Samsung (china) Semiconductor Co., Ltd.; Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/K7AjeRi8YUj9yFathTsRYw%3D%3D,G06F00306000,G06F0003061000,711004000,2020-05-19,2024-02-27,2024-02-27,2019-12-25,2019-12-25,2039-12-24,2020-05-19,2020-05-19,"Chen, Wenwen|Xia, Wei"
US20150199138,A1,"Multi-tiered storage systems and methods for adaptive content streaming","Georgia Tech Research Corporation",https://patentscout.innography.com/share/UTDpr5xU6LYr1ddSPOuXcg%3D%3D,G06F00306000,G06F0012122000,711004000,2015-07-16,2018-07-31,2015-07-16,2014-01-14,2015-01-14,2018-07-31,2015-07-16,2015-07-16,"Ramachandran, Umakishore|Ryu, Mungyung"
US10037285,B2,"Multi-tiered storage systems and methods for adaptive content streaming","Georgia Tech Research Corporation",https://patentscout.innography.com/share/d-xDYVRuQGcNEdW8vlU3oA%3D%3D,G06F01212000,G06F0012122000,713340000,2015-07-16,2018-07-31,2018-07-31,2014-01-14,2015-01-14,2035-01-14,2015-07-16,2015-07-16,"Ramachandran, Umakishore|Ryu, Mungyung"
KR102098697,B1,"Non-volatile memory system, system having the same and method for performing adaptive user storage region adjustment in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Cyl0YkCbp2W_mp346Ok4rw%3D%3D,G06F01314000,G06F0012024600,345519000,2014-09-24,2020-04-08,2020-04-08,2013-03-15,2013-03-15,2033-03-15,2014-09-18,2014-09-18,"Im, Hyung Jin|Choi, Sang Hoon|Kang, Jeong Uk|Kwon, Moon Sang"
CN109032505,A,"With aging of the data reading/writing method, device, computer device and storage medium","Shenzhen Unionmemory Information System Limited",https://patentscout.innography.com/share/oYvX4kHiPpCHz-Y_66u_zg%3D%3D,G06F00306000,G06F0003061000,711004000,2018-12-18,,2018-12-18,2018-06-26,2018-06-26,2022-04-29,2018-12-18,2018-12-18,"Wang, Meng|Xu, Weihua"
US20240160563,A1,"Victim zone selection for zone compaction during garbage collection in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/rGgtW-TwYy5lC0nlIKTseg%3D%3D,G06F01202000,G06F0012024600,345543000,2024-05-16,2025-02-25,2024-05-16,2022-11-10,2023-07-07,2025-02-25,2024-05-16,2024-05-16,"Kochar, Navin|Raja Murthy, Sampath Kumar|Adhoni, Suhaib Mohammed"
CN111722797,B,"Data management method facing ssd and ha-smr hybrid storage system, storage medium and device","Xi'an Jiaotong University",https://patentscout.innography.com/share/GzRLt9AfVyP814FaOZoVUQ%3D%3D,G06F00306000,G06F0003060400,711004000,2020-09-29,2021-06-29,2021-06-29,2020-05-18,2020-05-18,2040-05-17,2020-09-29,2020-09-29,"Wu, Weiguo|Zhang, Chi|Zhang, Chen|Nie, Shiqiang|Zheng, Xuda|Ma, Chunmiao"
CN107015763,A,"In a hybrid storage system ssd management method and device","Beijing Leadstor Technology Co., Ltd.",https://patentscout.innography.com/share/LkSYV7xFy8hiIJGRb2B0eg%3D%3D,G06F00306000,G06F0003061000,711004000,2017-08-04,,2017-08-04,2017-03-03,2017-03-03,2020-08-14,2017-08-04,2017-08-04,"Shen, Jie|Liu, Lei"
CN117311647,B,"Realizing method based on zns solid hard disk raid","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/h0Ikgfd8PyCJi8JrTgzZ3A%3D%3D,G06F00306000,G06F0003060700,711004000,2023-12-29,2024-03-15,2024-03-15,2023-11-30,2023-11-30,2043-11-29,2023-12-29,2023-12-29,"Qian, Peng|Liu, Xingbin|Xing, Peidong"
CN119025014,A,"Data storage method, device, system and device based on zns-ssd","Beijing Superstring Academy Of Memory Technology",https://patentscout.innography.com/share/fAVwJFJ_hcJweU-VX4hZ8A%3D%3D,G06F00306000,G06F0003060400,711004000,2024-11-26,,2024-11-26,2023-05-26,2023-05-26,2043-05-26,2024-11-26,2024-11-26,"Zhang, Kai|Dai, Jin|Zhang, Yunsen"
CN109783019,A,"A data intelligent memory management method and device","Shanghai V&g Information Technology Co., Ltd.",https://patentscout.innography.com/share/T2_QC5-1vca-BbG6VSdWOg%3D%3D,G06F00306000,G06F0003060000,711004000,2019-05-21,2022-08-19,2019-05-21,2018-12-28,2018-12-28,2022-08-19,2019-05-21,2019-05-21,"Qiu, Ciyun|Li, Zhenhua|Chen, Jia|Wu, Jia"
US8417871,B1,"System for increasing storage media performance","Innovations In Memory LLC",https://patentscout.innography.com/share/h8wMxDNU9oD474Cq4yKUBw%3D%3D,G06F01216000,G06F0012024600,711005000,,2013-04-09,2013-04-09,2009-04-17,2010-04-13,2031-02-11,2013-04-09,2013-04-09,"De, La Iglesia Erik"
US20210173776,A1,"System and method for facilitating data storage with low-latency input/output and persistent data","Alibaba Group Holding Limited",https://patentscout.innography.com/share/1CCjSbCyl_5hykYn3gDOlw%3D%3D,G06F01208040,G06F0012080400,713340000,2021-06-10,2021-12-21,2021-06-10,2019-12-05,2019-12-05,2021-12-21,2021-06-10,2021-06-10,"Li, Shu"
US20160188221,A1,"Systems and methods for managing storage endurance","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/j4Dge0kChAnTeR54aVKK0A%3D%3D,G06F00306000,G06F0003061100,711004000,2016-06-30,2017-09-19,2016-06-30,2014-12-30,2015-03-18,2017-09-19,2016-06-30,2016-06-30,"Janik, Gary"
US9766819,B2,"Systems and methods for managing storage endurance","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/CRMowPHZFrHn94CSBZlh5A%3D%3D,G06F01200000,G06F0003061100,710244000,2016-06-30,2017-09-19,2017-09-19,2014-12-30,2015-03-18,2035-03-18,2016-06-30,2016-06-30,"Janik, Gary"
CN114489484,B,"Ssd data storage method, ssd, terminal device and storage medium","Yeestor Microelectronics Co., Ltd.",https://patentscout.innography.com/share/GlKWHA-DgV5biXVPpFjPFg%3D%3D,G06F00306000,G06F0003061100,711004000,2022-05-13,2024-11-26,2024-11-26,2021-12-27,2021-12-27,2041-12-26,2022-05-13,2022-05-13,"Liu, Yingbiao|Wu, Dawei|Li, Xiaoqiang"
CN115657946,A,"An off-chip ddr bandwidth unloading method under raid order writing scene, terminal and storage medium","Shandong Yunhai Guochuang Cloud Computing Equipment Industry Innovation Center Co., Ltd.",https://patentscout.innography.com/share/b5_Xkf4t_ZqOrrhE4WNd2g%3D%3D,G06F00306000,G06F0003060000,711004000,2023-01-31,,2023-01-31,2022-10-26,2022-10-26,2042-10-26,2023-01-31,2023-01-31,"Wang, Jiang|Li, Shuqing|Sun, Huajin|Cui, Jian|Lee, Haeng-won"
US11455124,B2,"Command prioritization to reduce latencies of zone commands","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/LYDBZC-3gjg27scdCK27mQ%3D%3D,G06F00306000,G06F0003065900,711004000,2022-04-14,2022-09-27,2022-09-27,2020-10-09,2021-02-19,2041-02-19,2022-04-14,2022-04-14,"Agarwal, Dinesh Kumar|Sharma, Amit"
US20230205460,A1,"Storage system and method","Kioxia Corporation",https://patentscout.innography.com/share/pqvcaEuDdbYKcoMjxTWwCA%3D%3D,G06F00306000,G06F0003065900,711004000,2023-06-29,,2023-06-29,2021-12-24,2022-09-06,2042-09-06,2023-06-29,2023-06-29,"Ishihara, Takeshi|Tadokoro, Hidekazu|Hasegawa, Yohei"
KR20220062848,A,"Method for reducing write latency using pre-allocation and apparatus using the same","Electronics And Telecommunications Research Institute",https://patentscout.innography.com/share/idDa3cMk-fg7tTxMCBSOuA%3D%3D,G06F00306000,G06F0003061100,711004000,2022-05-17,,2022-05-17,2020-11-09,2020-11-09,2040-11-09,2022-05-17,2022-05-17,"Kim, Kyu Sik|Kim, Hong Yeon|An, Baik Song|Lee, Sang Min|Cha, Myung Hoon"
CN105934749,A,"Garbage collection and data relocation for data storage system","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/EH2Tt05I9imBgUJLEpq6fw%3D%3D,G06F01202000,G06F0003064700,345543000,2016-09-07,2019-10-08,2016-09-07,2014-01-27,2015-01-23,2019-10-08,2015-07-30,2015-07-30,"Chen, Albert H|Malina, James N"
US20230333772,A1,"Adaptive multi-stream classification for data storage systems","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/u5qy_HTU-7d8E_f3dsPmDw%3D%3D,G06F00306000,G06F0003065500,711004000,2023-10-19,2023-12-26,2023-10-19,2022-04-19,2022-04-19,2023-12-26,2023-10-19,2023-10-19,"Zilberstein, Einav|Krizhak, Matar|Achtenberg, Stella|Oshinsky, Hadas"
US11853595,B2,"Adaptive multi-stream classification for data storage systems","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/fRpZV806zheeruXX0uSGvA%3D%3D,G06F00306000,G06F0003065500,710244000,2023-10-19,2023-12-26,2023-12-26,2022-04-19,2022-04-19,2042-06-17,2023-10-19,2023-10-19,"Zilberstein, Einav|Krizhak, Matar|Achtenberg, Stella|Oshinsky, Hadas"
CN115657931,A,"Method for configuring data storage system of automobile with driving auxiliary function","Mercedes-benz Group Ag",https://patentscout.innography.com/share/rXpfSQPDs76MIFllINGupQ%3D%3D,G06F00306000,G06F0003061000,711004000,2023-01-31,,2023-01-31,2022-09-06,2022-09-06,2042-09-06,2023-01-31,2023-01-31,"Yu, Yao"
CN111309261,A,"Data physical location mapping method on single node in a distributed storage system","Orca Data Technology (xi'an) Co., Ltd.",https://patentscout.innography.com/share/jYozuZXcxE67xz-aXCubaw%3D%3D,G06F00306000,G06F0003064400,711004000,2020-06-19,,2020-06-19,2020-02-16,2020-02-16,2021-11-12,2020-06-19,2020-06-19,"Chen, Peng|Zhao, Jingrong|Yu, Chao"
US11269781,B1,"Programmable configuration of zones, write stripes or isolated regions supported from subset of nonvolatile/persistent memory","Radian Memory Systems LLC",https://patentscout.innography.com/share/hA_T-ps7p-Fbs1FEqgSt3A%3D%3D,G06F01210090,G06F0012100900,713340000,,2022-03-08,2022-03-08,2014-09-09,2020-02-19,2036-12-13,2017-01-10,2014-07-31,"Lercari, Robert|Chen, Alan|Jadon, Mike|Robertson, Craig|Kuzmin, Andrey V."
US20140281173,A1,"Nonvolatile memory system, system including the same, and method of adaptively adjusting user storage region in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/gmdZ1WyLNY5jSq2e0dHq4w%3D%3D,G06F01202000,G06F0012024600,711103000,2014-09-18,2016-10-04,2014-09-18,2013-03-15,2014-03-13,2016-10-04,2014-09-18,2014-09-18,"Im, Hyung Jin|Choi, Sang-moo|Kang, Jeong Uk|Kwon, Moon Sang"
KR20140113211,A,"Non-volatile memory system, system having the same and method for performing adaptive user storage region adjustment in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/iNl3RZGBhp75fRXDbmFLyw%3D%3D,G06F01314000,G06F0012024600,345519000,2014-09-24,2020-04-08,2014-09-24,2013-03-15,2013-03-15,2020-04-08,2014-09-18,2014-09-18,"Im, Hyung Jin|Choi, Sang-moo|Kang, Jeon Guk|Kwon, Moon Sang"
CN110968271,B,"High-performance data storage method, system and device","Beijing Jinqun Technology Co., Ltd.",https://patentscout.innography.com/share/GdgJ9APJ7JYfEoHa3c29mg%3D%3D,G06F00306000,G06F0003068900,711004000,2020-04-07,2024-02-20,2024-02-20,2019-11-25,2019-11-25,2039-11-24,2020-04-07,2020-04-07,"Zhang, Xingxing"
US12223175,B1,"Cache writing to zones to maximize write bandwidth","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/YDoCUDy-l1EPiygIyMof9w%3D%3D,G06F00306000,G06F0003065800,711004000,,2025-02-11,2025-02-11,2023-09-11,2023-09-11,2043-09-11,2025-02-11,2025-02-11,"Parker, Liam|Bennett, Alan D."
CN117453129,A,"Zone reset optimization method based on zns ssds","Chongqing University Of Posts And Telecommunications",https://patentscout.innography.com/share/WjpWep1BPomsM9XyBNJTdQ%3D%3D,G06F00306000,G06F0003060800,711004000,2024-01-26,,2024-01-26,2023-10-30,2023-10-30,2043-10-30,2024-01-26,2024-01-26,"Long, Linbo|Shui, Pengju|He, Shuiyong|Shen, Jingcheng|Liu, Renping"
US20150227465,A1,"Data storage within hybrid storage aggregate","Netapp, Inc.",https://patentscout.innography.com/share/3XXcyd7B3Ia4suAzgVUZgQ%3D%3D,G06F01208000,G06F0012086600,711003000,2015-08-13,2016-08-16,2015-08-13,2012-04-09,2015-04-24,2016-08-16,2015-05-26,2015-05-26,"Sundaram, Rajesh|Doucette, Douglas Paul|Grunwald, David|Kimmel, Jeffrey S.|Prakash, Ashish"
US9418015,B2,"Data storage within hybrid storage aggregate","Netapp, Inc.",https://patentscout.innography.com/share/UsIY0MByJ8EQJVGIpR_DgQ%3D%3D,G06F01200000,G06F0012086600,710244000,2015-08-13,2016-08-16,2016-08-16,2012-04-09,2015-04-24,2032-04-09,2015-05-26,2015-05-26,"Sundaram, Rajesh|Doucette, Douglas Paul|Grunwald, David|Kimmel, Jeffrey S.|Prakash, Ashish"
US20240248845,A1,"Selectively migrating write data between caches of different storage systems to prevent cache overdrive","International Business Machines Corporation",https://patentscout.innography.com/share/2ScGM5DcadUcFI01hNrWpw%3D%3D,G06F01208170,G06F0012082200,713340000,2024-07-25,,2024-07-25,2023-01-24,2023-01-24,2043-01-24,2024-07-25,2024-07-25,"Lyu, Gang|Zhang, Yao Dong|Song, Dong Ping|Hu, Geng|Xian, Wei|Chen, Ke Qiang"
US20240094903,A1,"Hybrid logical to physical mapping for zns based ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/OaDrw89MrTRw9iJUCpwmxQ%3D%3D,G06F00306000,G06F0003067900,711004000,2024-03-21,2025-02-18,2024-03-21,2022-09-20,2022-09-20,2025-02-18,2024-03-21,2024-03-21,"Kavirayani, Chaitanya|Agarwal, Vineet|Raja Murthy, Sampath|Deora, Aakar|Singh, Varun"
US20180136839,A1,"Storage optimization based i/o pattern modeling","Open Drives, Inc.",https://patentscout.innography.com/share/dRJ8uPnNxbYrEJ5pyv94AA%3D%3D,G06F00306000,G06F0003061000,711004000,2018-05-17,2019-03-12,2018-05-17,2016-11-14,2016-11-14,2019-03-12,2018-05-17,2018-05-17,"Brue, Jeff|Knowles, Chad|Wilsker, Michael"
US20240160562,A1,"Zone-based garbage collection in zns ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/iaFLir4glL-zu92BDm7pFA%3D%3D,G06F01202000,G06F0012024600,345543000,2024-05-16,,2024-05-16,2022-11-10,2023-07-07,2043-07-07,2024-05-16,2024-05-16,"Deora, Aakar|Kochar, Navin|Raja Murthy, Sampath Kumar|Kashyap, Gursimran"
CN119278439,A,"Zone-based garbage collection in zns ssd","Sandisk Technologies Inc.",https://patentscout.innography.com/share/VxBw2IbImzfIagXdhxKLVg%3D%3D,G06F01202000,G06F0012024600,345543000,2025-01-07,,2025-01-07,2022-11-10,2023-10-03,2043-10-03,2024-05-16,2024-05-16,"Della, Alain|Kochar, Navneet|Rajamoorthy, Sunil Kumar|Kashyap, Girish"
US20190250831,A1,"System and method for discovering parallelism of memory devices","Sk Hynix Inc.",https://patentscout.innography.com/share/g5ZQ70aHQvzrbY9oTho5QA%3D%3D,G06F00306000,G06F0003067900,711004000,2019-08-15,2021-02-16,2019-08-15,2018-02-15,2019-02-14,2021-02-16,2019-08-15,2019-08-15,"Shin, Seong Won|Tong, Yi|Jung, Seungwan"
US10921988,B2,"System and method for discovering parallelism of memory devices","Sk Hynix Inc.",https://patentscout.innography.com/share/ofxTWVVlV9PPd0JrKILveg%3D%3D,G06F00306000,G06F0003067900,711004000,2019-08-15,2021-02-16,2021-02-16,2018-02-15,2019-02-14,2039-02-14,2019-08-15,2019-08-15,"Shin, Seong Won|Tong, Yi|Jung, Seungwan"
US10228860,B2,"Storage optimization based i/o pattern modeling","Open Drives, Inc.",https://patentscout.innography.com/share/C_k87kxmRbYGmRQa_WGsdg%3D%3D,G06F00306000,G06F0003061000,711004000,2018-05-17,2019-03-12,2019-03-12,2016-11-14,2016-11-14,2036-11-14,2018-05-17,2018-05-17,"Brue, Jeff|Knowles, Chad|Wilsker, Michael"
US11429296,B2,"Storage system, host, and method for extended and imaginary logical-to-physical address mapping","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/RLGnHKwov5vErqCiJxX1DA%3D%3D,G06F00306000,G06F0003067900,711004000,2021-12-02,2022-08-30,2022-08-30,2020-06-01,2020-06-01,2040-06-04,2021-12-02,2021-12-02,"Muthiah, Ramanathan"
US20200050552,A1,"Write data allocation in storage system","International Business Machines Corporation",https://patentscout.innography.com/share/hnblxUYRs4EIu6ihKWyM2g%3D%3D,G06F01208770,G06F0012087700,713340000,2020-02-13,2021-01-26,2020-02-13,2018-08-07,2018-08-07,2021-01-26,2020-02-13,2020-02-13,"Lyu, Gang|Zhang, Hui"
US10901906,B2,"Write data allocation in storage system","International Business Machines Corporation",https://patentscout.innography.com/share/FfCJ1eKcvb-D7oEHHPDnOg%3D%3D,G06F01208770,G06F0012087700,713340000,2020-02-13,2021-01-26,2021-01-26,2018-08-07,2018-08-07,2025-01-26,2020-02-13,2020-02-13,"Lyu, Gang|Zhang, Hui"
CN103810111,B,"Method of address generation in the active memory device and its processing device","International Business Machines Corporation",https://patentscout.innography.com/share/-YDe11e65HFo8Wln0XBZRQ%3D%3D,G06F01202000,G06F0012020000,345543000,2014-05-21,2017-09-12,2017-09-12,2012-11-08,2013-11-08,2023-11-17,2014-05-08,2014-05-08,"Fleischer, Bruce M|Fox, Thomas W|Jacobson, Hans M|Nair, Ravi"
US20140032850,A1,"Transparent virtualization of cloud storage","Vmware LLC",https://patentscout.innography.com/share/y-b1u7gJblPxs5LRsMDQvQ%3D%3D,G06F01208000,G06F0012087300,711135000,2014-01-30,2017-11-28,2014-01-30,2012-07-25,2012-07-25,2017-11-28,2014-01-30,2014-01-30,"Phelan, Thomas A|Cota-robles, Erik|Barry, David William|Back, Adam"
