Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US11899980,B2,"Storage device including a turbo write buffer divided into a non-pinned buffer area and a pinned buffer area, an operation method of a storage system including the storage device in which data of the non-pinned and pinned buffer areas are flushed differently, and a host device controlling the storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/znYgtuX5vRtibOsE-0UiLA%3D%3D,G06F00306000,G06F0003065800,711004000,2023-02-16,2024-02-13,2024-02-13,2019-08-02,2022-10-20,2040-07-30,2021-02-02,2021-02-02,"Cho, Hyunsoo|Kim, Dong-min|Lee, Kyoung Back"
US20230205460,A1,"Storage system and method","Kioxia Corporation",https://patentscout.innography.com/share/pqvcaEuDdbYKcoMjxTWwCA%3D%3D,G06F00306000,G06F0003065900,711004000,2023-06-29,,2023-06-29,2021-12-24,2022-09-06,2042-09-06,2023-06-29,2023-06-29,"Ishihara, Takeshi|Tadokoro, Hidekazu|Hasegawa, Yohei"
US20220258039,A1,"Method for controlling a graphic interface for displaying the launching of a projectile in a virtual environment","Advanced Magnetic Interaction (ami)",https://patentscout.innography.com/share/ksIX_hw1t_kdX-xbY9BmNQ%3D%3D,A63F00902000,G06F0003035400,186068000,2022-08-18,,2022-08-18,2019-07-19,2020-07-16,2040-07-16,2021-01-22,2021-01-22,"Bonneau, Sophie|Chesney, Romain|Dupré La Tour, Jean-marie|Hautson, Tristan|Manchoul, Ons|Thomas, Simon|Traveaux, Jean-pierre"
US12147678,B2,"Handling data with different lifetime characteristics in stream-aware data storage equipment","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/MVaY4X1H2q_FVQMPqiYSzw%3D%3D,G06F00306000,G06F0012023800,711004000,2023-06-08,2024-11-19,2024-11-19,2019-07-25,2019-07-25,2039-07-25,2021-01-28,2021-01-28,"Dalmatov, Nickolay"
US20210034516,A1,"System and method for improving write performance for log structured storage systems","Emc Ip Holding Company, LLC",https://patentscout.innography.com/share/SNow1w5fz165MIZRMbWvtw%3D%3D,G06F01202000,G06F0012025300,345543000,2021-02-04,2022-11-29,2021-02-04,2019-07-31,2019-07-31,2022-11-29,2021-02-04,2021-02-04,"Alkalay, Amitai|Shabi, Uri"
US11513951,B2,"System and method for improving write performance for log structured storage systems","Emc Ip Holding Company, LLC",https://patentscout.innography.com/share/L_YtXRI4QRUEdc_Q8rTqOg%3D%3D,G06F01202000,G06F0012025300,345543000,2021-02-04,2022-11-29,2022-11-29,2019-07-31,2019-07-31,2041-06-12,2021-02-04,2021-02-04,"Alkalay, Amitai|Shabi, Uri"
CN103514104,A,"Data reading method, and data writing method","Anyka (guangzhou) Microelectronics Technology Co., Ltd.",https://patentscout.innography.com/share/BI9ug1Fkok5Cqhcfxy958g%3D%3D,G06F01206000,G06F0012060000,345571000,2014-01-15,2016-08-03,2014-01-15,2012-06-27,2012-06-27,2016-08-03,2014-01-15,2014-01-15,"Zhuang, Yuping|Ai, Jun|Hu, Shengfa"
CN103514104,B,"Data reading method, and data writing method","Anyka (guangzhou) Microelectronics Technology Co., Ltd.",https://patentscout.innography.com/share/IZ1aqUP9pK06zIWg4PRqdw%3D%3D,G06F01206000,G06F0012060000,345571000,2014-01-15,2016-08-03,2016-08-03,2012-06-27,2012-06-27,2032-06-26,2014-01-15,2014-01-15,"Zhuang, Yuping|Ai, Jun|Hu, Shengfa"
US20140032850,A1,"Transparent virtualization of cloud storage","Vmware LLC",https://patentscout.innography.com/share/y-b1u7gJblPxs5LRsMDQvQ%3D%3D,G06F01208000,G06F0012087300,711135000,2014-01-30,2017-11-28,2014-01-30,2012-07-25,2012-07-25,2017-11-28,2014-01-30,2014-01-30,"Phelan, Thomas A|Cota-robles, Erik|Barry, David William|Back, Adam"
CN106527987,A,"A not with dram ssd reliability lifting system and method","Hunan Goke Microelectronics Co., Ltd.",https://patentscout.innography.com/share/wV7W5up-PPAlfGfkRjEIaQ%3D%3D,G06F00306000,G06F0003061400,711004000,2017-03-22,2019-06-04,2017-03-22,2016-11-04,2016-11-04,2019-06-04,2017-03-22,2017-03-22,"Yang, Wanyun|Zhou, Shibing|Ma, Yi|Tian, Dahai|Peng, Peng"
CN106527987,B,"A without a dram ssd main control reliability lifting system and method","Hunan Goke Microelectronics Co., Ltd.",https://patentscout.innography.com/share/W802JeBF9vUBeiCXEEZC2g%3D%3D,G06F00306000,G06F0003061400,711004000,2017-03-22,2019-06-04,2019-06-04,2016-11-04,2016-11-04,2036-11-03,2017-03-22,2017-03-22,"Yang, Wanyun|Zhou, Shibing|Ma, Yi|Tian, Dahai|Peng, Peng"
US20230222058,A1,"Zoned namespaces for computing device main memory","Micron Technology, Inc.",https://patentscout.innography.com/share/867asuKfxvji-HENw1z2Jw%3D%3D,G06F01206000,G06F0012023800,345571000,2023-07-13,2024-12-10,2023-07-13,2022-01-07,2022-11-04,2024-12-10,2023-07-11,2023-07-11,"Sheridan, Patrick Michael"
US12164422,B2,"Zoned namespaces for computing device main memory","Micron Technology, Inc.",https://patentscout.innography.com/share/SdNzpnREwvgAyGkV3XH6hQ%3D%3D,G06F01202000,G06F0012023800,345543000,2023-07-13,2024-12-10,2024-12-10,2022-01-07,2022-11-04,2042-11-26,2023-07-11,2023-07-11,"Sheridan, Patrick Michael"
CN103544115,A,"Data writing method, memory controller and memory storing device","Phison Electronics Corp.",https://patentscout.innography.com/share/GvQ97l9rHjavis3Bx1BhWA%3D%3D,G06F00306000,G06F0003060000,711003000,2014-01-29,2016-08-03,2014-01-29,2012-07-10,2012-07-10,2016-08-03,2014-01-29,2014-01-29,"Ye, Zhigang"
CN103544115,B,"Data writing method, memory controller and memory storing device","Phison Electronics Corp.",https://patentscout.innography.com/share/TXJ2uyK-mN0XmM1g-Lg8jw%3D%3D,G06F01202000,G06F0012020000,345543000,2014-01-29,2016-08-03,2016-08-03,2012-07-10,2012-07-10,2032-07-09,2014-01-29,2014-01-29,"Ye, Zhigang"
US20170308464,A1,"Method of accessing storage device including nonvolatile memory device and controller","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/CbRlcU__whA4lIvzSEIx8w%3D%3D,G06F01206000,G06F0012023800,345571000,2017-10-26,2019-12-10,2017-10-26,2016-04-21,2017-03-09,2019-12-10,2017-10-26,2017-10-26,"Hwang, Joo Young"
US10503638,B2,"Method of accessing storage device including nonvolatile memory device and controller","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/dB3NasRYvmbaMn3T81lULQ%3D%3D,G06F01100000,G06F0012023800,370225000,2017-10-26,2019-12-10,2019-12-10,2016-04-21,2017-03-09,2037-07-23,2017-10-26,2017-10-26,"Hwang, Joo Young"
CN107273070,A,"An intelligent marketing bill bar code printing management control system","Hubei Normal University",https://patentscout.innography.com/share/MOaWw7Ayf72dhx1zxsemdA%3D%3D,G06F00312000,G06F0003122200,235432000,2017-10-20,,2017-10-20,2017-07-26,2017-07-26,2021-03-02,2017-10-20,2017-10-20,"Chen, Yanhe|Li, Haizhen|Chen, Hongbing|Wang, Xifang|Yu, Aiqin"
CN107391026,A,"Flash memory device and method for managing flash memory","Silicon Motion Inc.",https://patentscout.innography.com/share/Y3M_5CmKp9nVW2xaLBxxQA%3D%3D,G06F00306000,G06F0003060700,711004000,2017-11-24,2020-06-02,2017-11-24,2016-04-27,2017-04-24,2020-06-02,2017-11-02,2017-11-01,"Yang, Tsung-chieh|Hsu, Hong Jung"
CN107391026,B,"Flash memory device and method for managing flash memory","Silicon Motion Inc.",https://patentscout.innography.com/share/ofspRJJzh9h8PUryx8q46w%3D%3D,G06F00306000,G06F0003060700,711004000,2017-11-24,2020-06-02,2020-06-02,2016-04-27,2017-04-24,2037-04-23,2017-11-02,2017-11-01,"Yang, Tsung-chieh|Hsu, Hong-jung"
KR102583244,B1,"Storage device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/jf4qX16-HkiAzWqKFWBQ-A%3D%3D,G06F00306000,G06F0003061100,711004000,2023-08-04,2023-09-26,2023-09-26,2022-01-28,2022-01-28,2042-01-28,2023-08-01,2023-08-01,"Rho, Eunhee|Kim, Seokhwan"
US8667248,B1,"Data storage device using metadata and mapping table to identify valid user data on non-volatile media","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/IeAkp5uPsqtljLQbP4A2Lg%3D%3D,G06F01200000,G06F0012023800,711202000,,2014-03-04,2014-03-04,2010-08-31,2011-06-16,2032-02-10,2014-03-04,2014-03-04,"Neppalli, Srinivas"
US20210055864,A1,"Data storage apparatus and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/ZiwnlhLQVHTFp3JvraqG8g%3D%3D,G06F00306000,G06F0003065800,711004000,2021-02-25,2022-02-08,2021-02-25,2019-08-22,2020-04-06,2022-02-08,2021-02-25,2021-02-25,"Noh, Jung Ki|Jin, Yong"
CN112416242,A,"Data storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/aB0mUd5fNGDNEbPDd37j_Q%3D%3D,G06F00306000,G06F0003065800,711004000,2021-02-26,2024-06-28,2021-02-26,2019-08-22,2020-06-22,2024-06-28,2021-02-25,2021-02-25,"No, Chong-ki|Jin, Yong"
KR20210023203,A,"Data storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/r181ONvYi6WRslvfSx2AJA%3D%3D,G06F00306000,G06F0003065800,711004000,2021-03-04,2024-10-15,2021-03-04,2019-08-22,2019-08-22,2024-10-15,2021-02-25,2021-02-25,"Noh, Jung Ki|Jin, Yong"
US11243709,B2,"Data storage apparatus and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/oXetoYR9CeYqtlJcrhL6cQ%3D%3D,G06F01200000,G06F0003065800,710244000,2021-02-25,2022-02-08,2022-02-08,2019-08-22,2020-04-06,2040-04-06,2021-02-25,2021-02-25,"Noh, Jung Ki|Jin, Yong"
CN112416242,B,"Data storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/RU9h8-Fgl5-8lMMJ8iRG4A%3D%3D,G06F00306000,G06F0003065800,711004000,2021-02-26,2024-06-28,2024-06-28,2019-08-22,2020-06-22,2040-06-22,2021-02-25,2021-02-25,"Noh, Jung Ki|Jin, Yong"
KR102717023,B1,"Data storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/PImhpcLIdeFRsf_dkJgogQ%3D%3D,G06F00306000,G06F0003065800,711004000,2021-03-04,2024-10-15,2024-10-15,2019-08-22,2019-08-22,2039-08-22,2021-02-25,2021-02-25,"Noh, Jung Ki|Jin, Yong"
US20230236765,A1,"Storage controller performing active zone refresh, method of operating storage controller, and method of operating storage device having storage controller","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/4t4DG5iwQF-HioXp8cUvdg%3D%3D,G06F00306000,G06F0003067900,711004000,2023-07-27,,2023-07-27,2022-01-26,2022-10-21,2042-10-21,2023-07-27,2023-07-27,"Son, Minsik|Kim, Hyunkoo|Park, Junseok|Kim, Suhwan"
CN116521060,A,"Storage controller, method for operating storage controller and storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/hngVCdebyOk2TcUKfut9lA%3D%3D,G06F00306000,G06F0003061600,711004000,2023-08-01,,2023-08-01,2022-05-17,2023-01-13,2043-01-13,2023-08-01,2023-07-27,"Sohn, Min-sik|Kim, Hyun-gu|Park, Joon-seok|Kim, Su-hwan"
US20230236964,A1,"Storage controller deallocating memory block, method of operating the same, and method of operating storage device including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/fk5k0dqvyjVmE6cRRwgiPA%3D%3D,G06F01202000,G06F0012024600,345543000,2023-07-27,2024-12-24,2023-07-27,2022-01-26,2022-10-25,2024-12-24,2023-07-27,2023-07-27,"Kim, Dongki|Kang, Iikueon|Go, Gwang-ok|Park, Junseok"
CN116501655,A,"Memory controller for de-allocating memory blocks and method of operating the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/GAvIy2IJEECtR5Sy2z3Qxg%3D%3D,G06F01202000,G06F0012025300,345543000,2023-07-28,,2023-07-28,2022-05-24,2023-01-13,2043-01-13,2023-07-28,2023-07-27,"Kim, Dong-ki|Kang, Il-kwon|Ko, Gwang Ok|Park, Joon-seok"
KR20230115196,A,"Storage controller deallocating a memory block, method of operating the same, and a method of operating storage device having the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/ID8VAv3DbFoQ1S9g7wHduA%3D%3D,G06F01202000,G06F0012024600,345543000,2023-08-02,,2023-08-02,2022-01-26,2022-05-24,2042-05-24,2023-08-02,2023-07-27,"Kim, Dongki|Kang, Ilkueon|Go, Gwang Ok|Park, Junseok"
US12174735,B2,"Storage controller deallocating memory block, method of operating the same, and method of operating storage device including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/-HibTESWcH2YVRJEA7-IWw%3D%3D,G06F01202000,G06F0012024600,345543000,2023-07-27,2024-12-24,2024-12-24,2022-01-26,2022-10-25,2042-10-25,2023-07-27,2023-07-27,"Kim, Dongki|Kang, Ilkueon|Go, Gwang-ok|Park, Junseok"
US11199983,B2,"Apparatus for obsolete mapping counting in nand-based storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/WKoaiPgGVld1QWggbSMN4A%3D%3D,G06F00306000,G06F0003061000,711004000,2021-02-18,2021-12-14,2021-12-14,2019-08-12,2019-08-12,2039-10-26,2021-02-18,2021-02-18,"Frid, Marina|Genshaft, Igor"
CN113311991,B,"Data storage with improved write performance for preferred user data","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/HKeUSd66_bs0gIC7p6AoJw%3D%3D,G06F00306000,G06F0003065900,711004000,2021-08-27,2024-06-21,2024-06-21,2020-02-27,2020-06-12,2040-06-11,2021-02-16,2021-02-16,"Ben-rubi, Refael"
US20140078048,A1,"Method of recognizing contactless user interface motion and system there-of","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/jD8KZCdR1EuJDCqtUfmf6w%3D%3D,G06F00303000,G06F0003030400,345156000,2014-03-20,2015-12-08,2014-03-20,2012-09-18,2013-09-18,2015-12-08,2014-03-20,2014-03-20,"Kong, Myoung Seok|Park, Hyun Woo|Shin, Taek Kyun"
CN103677260,A,"Method and system of identifying non-contact user interface action","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/id0XRQh-ih3fHzYw_8Z9FA%3D%3D,G06F00301000,G06F0003030400,715701000,2014-03-26,2018-05-04,2014-03-26,2012-09-18,2013-09-18,2018-05-04,2014-03-20,2014-03-20,"Kong, Myoung-seok|Park, Hyun-woo|Shin, Taek-kyun"
US9207779,B2,"Method of recognizing contactless user interface motion and system there-of","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/xaXu6QIPgIRaykbBAveitQ%3D%3D,G06F00301000,G06F0003030400,713340000,2014-03-20,2015-12-08,2015-12-08,2012-09-18,2013-09-18,2034-01-30,2014-03-20,2014-03-20,"Kong, Myoung Seok|Park, Hyun Woo|Shin, Taek Kyun"
CN103677260,B,"Method for identifying non-contact user interface action and system thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/34iYRpJ-BrhE-McNurYr0w%3D%3D,G06F00301000,G06F0003030400,715701000,2014-03-26,2018-05-04,2018-05-04,2012-09-18,2013-09-18,2033-09-17,2014-03-20,2014-03-20,"Kong, Myoung Seok|Park, Hyun Woo|Shin, Taek Kyun"
US20210064536,A1,"Sequential-write-based partitions in a logical-to-physical table cache","Micron Technology, Inc.",https://patentscout.innography.com/share/6NR306Hz1S-xR8W_ynLs_Q%3D%3D,G06F01210090,G06F0012024600,713340000,2021-03-04,2021-09-14,2021-03-04,2019-08-26,2019-08-26,2021-09-14,2021-03-02,2021-03-02,"Palmer, David A."
CN112433956,A,"Logical to physical table cache based on sequential writing partition","Micron Technology Inc.",https://patentscout.innography.com/share/tbIQhmpv_1N_ZZH_bymWWA%3D%3D,G06F01202000,G06F0012024600,345543000,2021-03-02,2022-10-28,2021-03-02,2019-08-26,2020-08-21,2022-10-28,2021-03-02,2021-03-02,"Palmer, David A"
US11119940,B2,"Sequential-write-based partitions in a logical-to-physical table cache","Micron Technology, Inc.",https://patentscout.innography.com/share/dnqMb75W9A5UGgmcSauIMg%3D%3D,G06F01210090,G06F0012024600,713340000,2021-03-04,2021-09-14,2021-09-14,2019-08-26,2019-08-26,2039-08-26,2021-03-02,2021-03-02,"Palmer, David A."
CN112433956,B,"Logical to physical table cache based on sequential writing partition","Micron Technology Inc.",https://patentscout.innography.com/share/EIlHNGJ_102Z2OTayRilFw%3D%3D,G06F01202000,G06F0012024600,345543000,2021-03-02,2022-10-28,2022-10-28,2019-08-26,2020-08-21,2040-08-20,2021-03-02,2021-03-02,"Palmer, David A."
KR20220058944,A,"Memory mapped devices and methods","Micron Technology, Inc.",https://patentscout.innography.com/share/d-3P-t2PoBSG7ZOe23sL9w%3D%3D,G06F01202000,G06F0012024600,345543000,2022-05-10,,2022-05-10,2019-09-10,2019-09-10,2039-09-10,2021-03-18,2021-03-18,"Duan, Xinghui"
CN114556313,A,"Memory mapping device and method","Micron Technology Inc.",https://patentscout.innography.com/share/X_nUIaW2Yl6jzjj0N4lmAw%3D%3D,G06F01210000,G06F0012024600,345568000,2022-05-27,,2022-05-27,2019-09-10,2019-09-10,2039-09-10,2021-03-18,2021-03-18,"Duan, Xinghui"
US20220382453,A1,"Memory mapping device and method","Micron Technology, Inc.",https://patentscout.innography.com/share/mivLSozOTwcyv5GSk2eRwA%3D%3D,G06F00306000,G06F0012024600,711004000,2022-12-01,2024-03-05,2022-12-01,2019-09-10,2019-09-10,2024-03-05,2021-03-18,2021-03-18,"Duan, Xinghui"
US11922012,B2,"Memory mapping device and method","Micron Technology, Inc.",https://patentscout.innography.com/share/gB7VMq9W-Zf4TshxxqrxMA%3D%3D,G06F00306000,G06F0012024600,711004000,2022-12-01,2024-03-05,2024-03-05,2019-09-10,2019-09-10,2039-10-23,2021-03-18,2021-03-18,"Duan, Xinghui"
US20230289100,A1,"Network interface card implementing composite zoned namespace architecture","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/h_HENdKZKsqciFxTuZNV9Q%3D%3D,G06F00306000,G06F0003061000,711004000,2023-09-14,2023-12-26,2023-09-14,2022-03-14,2022-03-14,2023-12-26,2023-09-14,2023-09-14,"Veluswamy, Senthil Kumar"
US11853611,B2,"Network interface card implementing composite zoned namespace architecture","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/IlrRhEJT4EQ0GzJiEvb_sg%3D%3D,G06F00306000,G06F0003061000,711004000,2023-09-14,2023-12-26,2023-12-26,2022-03-14,2022-03-14,2042-03-14,2023-09-14,2023-09-14,"Veluswamy, Senthil Kumar"
US20230289101,A1,"Cloud storage device implementing composite zoned namespace architecture","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/3J4YfkEa2tjQ-Ri6fwOBFg%3D%3D,G06F00306000,G06F0003061000,711004000,2023-09-14,2024-02-20,2023-09-14,2022-03-14,2022-03-14,2024-02-20,2023-09-14,2023-09-14,"Veluswamy, Senthil Kumar"
US11907582,B2,"Cloud storage device implementing composite zoned namespace architecture","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/8y3VoNjykvbEWNA_jLsxPw%3D%3D,G06F00306000,G06F0003061000,711004000,2023-09-14,2024-02-20,2024-02-20,2022-03-14,2022-03-14,2042-03-14,2023-09-14,2023-09-14,"Veluswamy, Senthil Kumar"
US12079487,B2,"Zoned namespaces in solid-state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/LBy1_crtjyhMa30JpljxUw%3D%3D,G06F00306000,G06F0003061600,711004000,2022-03-31,2024-09-03,2024-09-03,2019-09-25,2021-12-10,2040-03-02,2021-03-25,2021-03-25,"Bjorling, Matias|Hellwig, Horst-christoph Georg|Landsman, David|Helmick, Daniel L.|Parker, Liam|Bennett, Alan D.|Grayson, Peter|Hahn, Judah Gamliel"
US20210089460,A1,"Host device with storage cache aware processing of input-output operations in multi-path layer","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/okLpW6qwxix0KLmHfblCwQ%3D%3D,G06F01208730,G06F0012087300,713340000,2021-03-25,2021-08-10,2021-03-25,2019-09-24,2019-09-24,2021-08-10,2021-03-25,2021-03-25,"Anchi, Amit Pundalik|Patel, Rimpesh"
US11086785,B2,"Host device with storage cache aware processing of input-output operations in multi-path layer","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/ejYk6UDuuXtwC9BtvAQkXA%3D%3D,G06F01208730,G06F0012087300,713340000,2021-03-25,2021-08-10,2021-08-10,2019-09-24,2019-09-24,2039-09-24,2021-03-25,2021-03-25,"Anchi, Amit Pundalik|Patel, Rimpesh"
US20140101373,A1,"Method of managing data storage device and data storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Drcm5CCHsa4vTSLJsfFxaA%3D%3D,G06F00306000,G06F0003061300,711103000,2014-04-10,2016-01-26,2014-04-10,2012-09-27,2013-09-26,2016-01-26,2014-04-04,2014-04-04,"Lee, Seh-wan|Kim, Jae-geuk|Hwang, Joo Young"
US9244619,B2,"Method of managing data storage device and data storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/1EgyrEGg5CJ7ryvUwapVGQ%3D%3D,G06F01312000,G06F0003061300,703020000,2014-04-10,2016-01-26,2016-01-26,2012-09-27,2013-09-26,2033-11-08,2014-04-04,2014-04-04,"Lee, Seh-wan|Kim, Jae Geuk|Hwang, Joo Young"
CN116774962,A,"Wireless data transmission display terminal for assisting berthing","Jiangsu Hongxin Technology Co., Ltd.; Taixing Port Group Co., Ltd.",https://patentscout.innography.com/share/rz18sjXrf4zUnoeNFgkS3Q%3D%3D,G06F00314000,G06F0003140000,715864000,2023-09-19,2023-12-29,2023-09-19,2023-08-24,2023-08-24,2023-12-29,2023-09-19,2023-09-19,"Zhou, Jun|Zhou, Qingsong|Miao, Qiulian|Sheng, Yougao|Cao, Yifan|Jiang, Yingjie|Cheng, Fei|Jin, Peng|Shen, Wenwu"
CN116774962,B,"Wireless data transmission display terminal for assisting berthing","Jiangsu Hongxin Technology Co., Ltd.; Taixing Port Group Co., Ltd.",https://patentscout.innography.com/share/FgRa4IXb_QOxlAyzr4AA1Q%3D%3D,G06F00314000,G06F0003140000,715864000,2023-09-19,2023-12-29,2023-12-29,2023-08-24,2023-08-24,2043-08-23,2023-09-19,2023-09-19,"Zhou, Jun|Zhou, Qingsong|Miao, Qiulian|Sheng, Yougao|Cao, Yifan|Jiang, Yingjie|Cheng, Fei|Jin, Peng|Shen, Wenwu"
CN103714013,A,"Configuration method and device of storage space of a file system","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/48mIrO4INSI5pFzR05m0PA%3D%3D,G06F01202000,G06F0012020000,345543000,2014-04-09,2017-08-25,2014-04-09,2013-12-31,2013-12-31,2017-08-25,2014-04-09,2014-04-09,"Li, Ting|Wang, Yansong|Yu, Ruirong"
US11775174,B1,"Systems and methods of data migration in a tiered storage system based on volume priority category","Amzetta Technologies, LLC",https://patentscout.innography.com/share/-LaXijmLIXk7NNMK2TQZng%3D%3D,G06F00306000,G06F0003066500,711004000,,2023-10-03,2023-10-03,2019-10-11,2020-10-12,2040-12-02,2023-10-03,2023-10-03,"Chatterjee, Paresh|Muthirisavengopal, Vijayarankan|Enoch, Sharon Samuel|Ramasamy, Senthilkumar"
US20210097003,A1,"Method and system for organizing nand blocks and placing data to facilitate high-throughput for random writes in a solid state drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/YVDQDjKklVG_DE9F4UcvFQ%3D%3D,G06F01210090,G06F0003063100,713340000,2021-04-01,2021-09-21,2021-04-01,2019-10-01,2019-10-01,2021-09-21,2021-04-01,2021-04-01,"Li, Shu"
CN112596667,A,"Method and system for organizing nand blocks and placing data in a solid state drive to facilitate random write-in high throughput","Alibaba Group Holding Ltd.",https://patentscout.innography.com/share/nKiMwxWqJpOqmbufHqyLqA%3D%3D,G06F00306000,G06F0003063100,711004000,2021-04-02,2024-06-11,2021-04-02,2019-10-01,2020-09-25,2024-06-11,2021-04-01,2021-04-01,"Li, Shu"
US11126561,B2,"Method and system for organizing nand blocks and placing data to facilitate high-throughput for random writes in a solid state drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/OHB-RoIS3BgVBnsE7seUFw%3D%3D,G06F01210090,G06F0003063100,713340000,2021-04-01,2021-09-21,2021-09-21,2019-10-01,2019-10-01,2039-12-13,2021-04-01,2021-04-01,"Li, Shu"
CN112596667,B,"Method and system for organizing nand blocks in a solid state drive and placing data for high throughput for random writing","Alibaba Group Holding Ltd.",https://patentscout.innography.com/share/GLRlHINOAuE4Lm9ulyVIEg%3D%3D,G06F00306000,G06F0003063100,711004000,2021-04-02,2024-06-11,2024-06-11,2019-10-01,2020-09-25,2040-09-24,2021-04-01,2021-04-01,"Li, Shu"
US20140115239,A1,"Method of managing data in nonvolatile memory device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Gww4PJdcrI1kD2rfeXjWQg%3D%3D,G06F01202000,G06F0012024600,711103000,2014-04-24,,2014-04-24,2012-10-22,2013-10-17,2016-08-08,2014-04-24,2014-04-24,"Kong, Chun-um|Lee, Su-ryun|Park, Youn-won|Choi, Hong-suk"
US20230333772,A1,"Adaptive multi-stream classification for data storage systems","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/u5qy_HTU-7d8E_f3dsPmDw%3D%3D,G06F00306000,G06F0003065500,711004000,2023-10-19,2023-12-26,2023-10-19,2022-04-19,2022-04-19,2023-12-26,2023-10-19,2023-10-19,"Zilberstein, Einav|Krizhak, Matar|Achtenberg, Stella|Oshinsky, Hadas"
US11853595,B2,"Adaptive multi-stream classification for data storage systems","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/fRpZV806zheeruXX0uSGvA%3D%3D,G06F00306000,G06F0003065500,710244000,2023-10-19,2023-12-26,2023-12-26,2022-04-19,2022-04-19,2042-06-17,2023-10-19,2023-10-19,"Zilberstein, Einav|Krizhak, Matar|Achtenberg, Stella|Oshinsky, Hadas"
US9864529,B1,"Host compatibility for host managed storage media","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/n6Tod1iiPXWv2-w7tfBCHg%3D%3D,G06F00306000,G06F0003061900,711004000,,2018-01-09,2018-01-09,2014-01-27,2015-01-27,2036-01-08,2018-01-09,2018-01-09,"Chen, Albert H.|Malina, James N."
US20220365875,A1,"Efficient data storage by grouping similar data within a zone","Pure Storage, Inc.",https://patentscout.innography.com/share/rhpJbeqzUCIet6zFJfr65w%3D%3D,G06F01202000,G06F0012025300,345543000,2022-11-17,,2022-11-17,2019-10-15,2022-07-29,2039-10-15,2022-11-17,2021-04-15,"Mao, Yuhong|Karr, Ronald"
CN117130551,A,"Storage device and data access method thereof","Samsung (china) Semiconductor Co., Ltd.; Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/JZgiwFTXcROUyY-G9IkJug%3D%3D,G06F00306000,G06F0003061000,711004000,2023-11-28,,2023-11-28,2023-08-24,2023-08-24,2043-08-24,2023-11-28,2023-11-28,"Yan, Hao"
US20250068343,A1,"Storage device and data access method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/-chEeQqn5IzX6qSUHyq5UQ%3D%3D,G06F00306000,G06F0003061000,711004000,2025-02-27,2025-05-06,2025-02-27,2023-08-24,2023-11-22,2025-05-06,2023-11-28,2023-11-28,"Yan, Hao"
